TC ID,Test Type,Test Case Name,Description,Actions,Expected Results,Test Repository Path,Status,Component,User Story,Priority,Acceptance Criteria
TC_1178_011,Manual,TC11_Premium Retention - Quoted to Actual Conversion,Validate DIC/DIL quoted and actual premiums are retained after conversion,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Local Policy
3. Navigate to Update screen
4. Enter Quoted Premium for DIC/DIL
5. Click Price button
6. Navigate to Update screen
7. Update Actual Premium for DIC/DIL
8. Verify retention","1. Quoted Premium should be retained after actual premium entry
2. Actual Premium should be editable independently
3. Both quoted and actual should remain visible in Master Policy table
4. Premiums should not be deleted or reset
5. Historical values should be preserved","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_012,Manual,TC12_Master Policy Premium Calculation - Accuracy,Validate Master Policy premium is correctly calculated as (Total - Local Premiums),"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add multiple countries with mixed Insurance Solutions
3. Enter local policy premiums for each country
4. Navigate to Master Policy table
5. Verify calculation","1. Master Policy Premium = Total Program Premium - Sum of Local Policy Premiums
2. Calculation should exclude DIC/DIL amounts (100% to Master)
3. Currency conversion should be applied correctly
4. Master Premium should reflect in policy documents
5. Calculation should be validated for GL and Umbrella separately","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_013,Manual,TC13_Local Currency Conversion for Print,Validate local premiums are converted to local currency for print,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with non-USD currency
3. Enter premiums in system currency
4. Navigate to IPA screen
5. Print/export report","1. Local premiums should display in correct local currency
2. Conversion rates should be applied accurately
3. Printed documents should show local currency values
4. Master Policy should show policy currency (USD)
5. Conversion should be performed consistently","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_014,Manual,TC14_BORIS Data Integrity - No Impact,Validate BORIS receives data correctly without impact from new update screen,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Set Scope = PRODUCED
3. Complete entire workflow (Price, Quote, Bind, Issue)
4. Retrieve issued policy
5. Verify BORIS data feed","1. BORIS should receive all policy data as usual
2. New DIC/DIL coverages should not corrupt BORIS feed
3. Premium allocation should be accurate in BORIS
4. All fields should match expected values
5. No data loss or modification in BORIS","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_015,Manual,TC15_CESAR Integration - DIC/DIL ML-SL-CC Mapping,Validate DIC/DIL coverages flow to CESAR with correct ML-SL-CC codes,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Local Policy
3. Complete workflow through Issue
4. Retrieve issued policy
5. Verify CESAR feed
6. Validate ML-SL-CC codes","1. DIC/DIL coverage should flow to CESAR successfully
2. ML-SL-CC codes should be correctly mapped per SL-ML-CC Coverage Mapping
3. Separate GL and Umbrella ML-SL-CC codes should be applied
4. Coverage hierarchy should be maintained
5. CESAR should recognize DIC/DIL as valid coverage","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_016,Manual,TC16_Claim Center Exclusion - No DIC/DIL Visibility,Validate DIC/DIL coverages are NOT visible in Claim Center,"1. Initiate and Issue New Business GL/Umbrella PRODUCED submission
2. Add Local Policy with DIC/DIL coverages
3. Open policy in Claim Center
4. Attempt to add claim against DIC/DIL coverage
5. Search for DIC/DIL in coverage list","1. DIC/DIL coverage should not appear in Claim Center available coverages
2. User should not be able to select DIC/DIL for claims
3. Only applicable coverages should be available for claims
4. Error handling should prevent DIC/DIL selection if attempted
5. Claim workflow should not be affected","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_017,Manual,TC17_Update Screen Visibility - Cancellation Impact,Validate update screen behavior is consistent on Cancellation transaction,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Complete through Issue
3. Initiate Cancellation transaction
4. Navigate to Update screen
5. Verify update screen type","1. Cancellation should show new update screen (inherited from NB)
2. Behavior should be consistent with NB transaction type
3. Update screen should reflect cancellation context
4. Premiums should not be reset
5. Master Policy table should remain visible","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_018,Manual,TC18_Update Screen Visibility - Rewrite Impact,Validate update screen behavior is consistent on Rewrite transaction,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Complete through Issue
3. Initiate Rewrite transaction
4. Navigate to Update screen
5. Verify update screen type
6. Add new receiving territories","1. Rewrite should show new update screen (inherited from NB)
2. New receiving territories should display in Master Policy table
3. Existing premium data should be carried forward
4. User should be able to modify premiums
5. Update screen should function as in NB context","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_019,Manual,TC19_Update Screen Visibility - Reinstatement Impact,Validate update screen behavior on Reinstatement transaction,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Complete through Issue
3. Initiate Cancellation
4. Initiate Reinstatement transaction
5. Navigate to Update screen","1. Reinstatement should show appropriate update screen
2. Behavior should be consistent with transaction rules
3. Master Policy table should display original configuration
4. Premiums should be retained from cancelled policy
5. No data loss should occur","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_020,Manual,TC20_GL LOB DIC/DIL Coverage Creation,Validate DIC/DIL coverage is correctly created for GL LOB,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Navigate to GL LOB screen
3. Add receiving territory with Insurance Solution = Local Policy
4. Navigate to Coverage section
5. Verify DIC/DIL for GL","1. DIC/DIL coverage should be created specifically for GL LOB
2. Coverage name should follow format DIC/DIL - [Country Code]
3. Coverage should be available in GL coverage list
4. Premium should be editable on GL coverage
5. Premium should reflect in Master Policy table for GL column","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_021,Manual,TC21_Umbrella LOB DIC/DIL Coverage Creation,Validate DIC/DIL coverage is correctly created for Umbrella LOB,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Navigate to Umbrella LOB screen
3. Add receiving territory with Insurance Solution = Local Policy
4. Navigate to Coverage section
5. Verify DIC/DIL for Umbrella","1. DIC/DIL coverage should be created specifically for Umbrella LOB
2. Coverage name should follow format DIC/DIL - [Country Code]
3. Coverage should be available in Umbrella coverage list
4. Premium should be editable on Umbrella coverage
5. Premium should reflect in Master Policy table for Umbrella column","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_022,Manual,TC22_Update Screen Visibility - Domestic Scope,Validate update screen is NOT visible for Domestic scope submissions,"1. Initiate New Business GL/Umbrella submission
2. Set Scope = DOMESTIC
3. Navigate to Line Selection screen
4. Add GL and Umbrella
5. Complete workflow through Price
6. Navigate to Update screen","1. Old update screen should be displayed
2. New Master Policy table should NOT appear
3. New update screen should only appear for PRODUCED scope
4. Domestic scope should function as before
5. No premiums should be in new format","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_023,Manual,TC23_Update Screen Visibility - Non-GL/Umbrella Products,Validate update screen is NOT visible for non-GL/Umbrella products,"1. Initiate New Business submission with Property LOB
2. Set Scope = PRODUCED
3. Navigate through workflow
4. Attempt to access Update screen
5. Verify screen type
6. Repeat for Inland Marine LOB","1. New update screen should NOT be displayed
2. Old update screen should appear for Property
3. Old update screen should appear for Inland Marine
4. Non-GL/Umbrella products should not show Master Policy table
5. Workflow should proceed normally without changes","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_024,Manual,TC24_Coverage Section Hidden - Local Policy Row,Validate coverage section is hidden when Local Policy row is clicked,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Local Policy
3. Navigate to Update screen
4. Locate Master Policy table
5. Click on Local Policy row
6. Verify coverage section visibility","1. Coverage section should be hidden
2. User should not see coverage list for Local Policy row
3. Other rows should still show coverage section as applicable
4. Coverage data should not be lost
5. Clicking away should restore coverage section visibility","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_025,Manual,TC25_Coverage Section Hidden - Ground Up Row,Validate coverage section is hidden when Ground Up row is clicked,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Non-Admitted or FinC
3. Navigate to Update screen
4. Locate Master Policy table
5. Click on Ground Up row
6. Verify coverage section visibility","1. Coverage section should be hidden
2. User should not see coverage list for Ground Up row
3. Other rows should still show coverage section
4. User should focus on premium entry fields
5. Clicking away should restore coverage section visibility","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_026,Manual,TC26_Invalid Country Entry - Validation,Validate system prevents invalid country entries,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Navigate to receiving territory setup
3. Attempt to add invalid/unknown country code
4. Try to proceed to Update screen
5. Verify validation error","1. System should display validation error for invalid country
2. Error message should guide user to select valid country
3. Invalid country should not be added to territory list
4. User should be forced to correct entry
5. Submission should not proceed with invalid data","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_027,Manual,TC27_Negative - Missing Mandatory Premium,Validate system requires premium for Master Policy rows,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Non-Admitted
3. Navigate to Update screen
4. Locate Master Policy table
5. Leave premiums blank
6. Attempt to Price","1. System should display validation error
2. Error should specify missing premium field
3. Non-Admitted (Ground up) requires manual premium entry
4. User should not be able to proceed without premium
5. Error message should guide to correction","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_028,Manual,TC28_Negative - Invalid Premium Value,Validate system validates premium entries for correct format,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory
3. Navigate to Update screen
4. Enter invalid premium (negative, text, special characters)
5. Attempt to save/Price","1. System should reject invalid premium values
2. Display validation error with clear message
3. Negative premiums should be rejected
4. Text/special characters should be rejected
5. Only numeric values should be accepted","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_029,Manual,TC29_Negative - DIC/DIL NOT Created for Ground Up,Validate DIC/DIL coverage is NOT created for Non-Admitted/FinC,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Non-Admitted
3. Navigate to Coverage section
4. Search for DIC/DIL coverage
5. Add receiving territory with Insurance Solution = FinC
6. Search for DIC/DIL coverage","1. DIC/DIL coverage should NOT be automatically created
2. Only Local Policy insurance solution should trigger DIC/DIL
3. Non-Admitted should not have DIC/DIL
4. FinC should not have DIC/DIL
5. Manual premium entry fields should appear instead","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_030,Manual,TC30_Quote Document Validation - Master Policy,Validate Master Policy premiums appear correctly in Quote document,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Complete setup with multiple receiving territories
3. Navigate to Update screen and enter all data
4. Price the submission
5. Generate Quote
6. Validate Quote document","1. Quote should display Master Policy premiums correctly
2. DIC/DIL amounts should be included from Master Policy table
3. All receiving territories should be listed
4. Premium breakdown should be accurate
5. Document formatting should be correct","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_031,Manual,TC31_Declarations Document Validation - DIC/DIL,Validate DIC/DIL coverage flows correctly to Declarations document,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add Local Policy with DIC/DIL
3. Complete workflow through Issue
4. Retrieve issued policy
5. Validate Declarations document","1. Declarations should show DIC/DIL coverages per country
2. DIC/DIL premiums should be displayed correctly
3. Coverage details should be accurate
4. Currency should be correct for each location
5. Document should be readable and complete","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
TC_1178_032,Manual,TC32_Binder Document Validation - Master Policy Data,Validate Binder contains correct Master Policy information,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Complete workflow through Bind
3. Generate Binder document
4. Retrieve Binder
5. Validate content","1. Binder should show Master Policy premiums
2. All receiving territories should be listed
3. Insurance Solutions should be accurately reflected
4. Premium calculations should be correct
5. Binder formatting should be professional","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Positive
