TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
6,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
6,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
6,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
6,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
6,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
7,Manual,TC07_Verify Form ZC 6356 Auto-Attachment on Flat Cancel_Inland Marine_Cancel Flat_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a flat cancel,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
7,,,,2. Create a Flat Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
7,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
7,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
7,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
7,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
7,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
7,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
7,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
8,Manual,TC08_Verify Form ZC 6356 Auto-Attachment on Pro Rata Cancel_Inland Marine_Cancel Pro Rata_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a pro rata cancel,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
8,,,,2. Create a Pro Rata Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
8,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
8,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
8,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
8,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
8,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
8,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
8,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
9,Manual,TC09_Verify Form ZC 6356 Auto-Attachment on Short Rate Cancel_Inland Marine_Cancel Short Rate_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a short rate cancel,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
9,,,,2. Create a Short Rate Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
9,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
9,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
9,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
9,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
9,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
9,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
9,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
10,Manual,TC10_Verify Form ZC 6356 Auto-Attachment on Reinstatement_Inland Marine_Reinstatement_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a reinstatement,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
10,,,,2. Create a Reinstatement transaction,2. User should be able to create a reinstatement transaction successfully,,,,,,
10,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
10,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
10,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
10,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
10,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
10,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
10,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
11,Manual,TC11_Verify Form ZC 6356 Auto-Attachment on Rewrite Full Term_Inland Marine_Rewrite Full Term_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a rewrite full term,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
11,,,,2. Create a Rewrite Full Term transaction,2. User should be able to create a rewrite transaction successfully,,,,,,
11,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
11,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
11,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
11,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
11,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
11,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
11,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
12,Manual,TC12_Verify Form ZC 6356 Latest Edition in API Payload_Inland Marine_New Business_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload to the backend system,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
12,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
12,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
12,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
12,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
12,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
12,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
12,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
12,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
12,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
12,,,,11. Verify form metadata in payload,11. The payload should include correct form versioning information and metadata,,,,,,
13,Manual,TC13_Verify Form ZC 6356 Latest Edition in API Payload for Policy Change Inception_Inland Marine_Policy Change Inception_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for policy change inception transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
13,,,,2. Create a Policy Change Inception transaction,2. User should be able to create a policy change transaction successfully,,,,,,
13,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
13,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
13,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
13,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
13,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
13,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
13,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
13,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
14,Manual,TC14_Verify Form ZC 6356 Latest Edition in API Payload for Policy Change Midterm_Inland Marine_Policy Change Midterm_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for policy change midterm transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
14,,,,2. Create a Policy Change Midterm transaction,2. User should be able to create a policy change transaction successfully,,,,,,
14,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
14,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
14,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
14,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
14,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
14,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
14,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
14,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
15,Manual,TC15_Verify Form ZC 6356 Latest Edition in API Payload for Policy Change Out of Sequence_Inland Marine_Policy Change Out of Sequence_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for policy change out of sequence transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
15,,,,2. Create a Policy Change Out of Sequence transaction,2. User should be able to create a policy change transaction successfully,,,,,,
15,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
15,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
15,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
15,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
15,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
15,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
15,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
15,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
16,Manual,TC16_Verify Form ZC 6356 Latest Edition in API Payload for Preemption_Inland Marine_Policy Change Preemption_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for preemption transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
16,,,,2. Create a Preemption transaction,2. User should be able to create a preemption transaction successfully,,,,,,
16,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
16,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
16,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
16,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
16,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
16,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
16,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
16,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
17,Manual,TC17_Verify Form ZC 6356 Latest Edition in API Payload for Flat Cancel_Inland Marine_Cancel Flat_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for flat cancel transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
17,,,,2. Create a Flat Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
17,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
17,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
17,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
17,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
17,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
17,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
17,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
17,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
18,Manual,TC18_Verify Form ZC 6356 Latest Edition in API Payload for Pro Rata Cancel_Inland Marine_Cancel Pro Rata_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for pro rata cancel transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
18,,,,2. Create a Pro Rata Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
18,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
18,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
18,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
18,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
18,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
18,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
18,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
18,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
19,Manual,TC19_Verify Form ZC 6356 Latest Edition in API Payload for Short Rate Cancel_Inland Marine_Cancel Short Rate_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for short rate cancel transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
19,,,,2. Create a Short Rate Cancel transaction,2. User should be able to create a cancel transaction successfully,,,,,,
19,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
19,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
19,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
19,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
19,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
19,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
19,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
19,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
20,Manual,TC20_Verify Form ZC 6356 Latest Edition in API Payload for Reinstatement_Inland Marine_Reinstatement_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for reinstatement transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
20,,,,2. Create a Reinstatement transaction,2. User should be able to create a reinstatement transaction successfully,,,,,,
20,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
20,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
20,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
20,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
20,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
20,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
20,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
20,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
21,Manual,TC21_Verify Form ZC 6356 Latest Edition in API Payload for Rewrite Full Term_Inland Marine_Rewrite Full Term_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload for rewrite full term transactions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Payload,Done,Middle Market,CAMS-1863,High,Positive
21,,,,2. Create a Rewrite Full Term transaction,2. User should be able to create a rewrite transaction successfully,,,,,,
21,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
21,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
21,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
21,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
21,,,,7. Select form ZC 6356,7. Form ZC 6356 should be selected,,,,,,
21,,,,8. Fill all mandatory fields,8. User should be able to complete all mandatory field entries,,,,,,
21,,,,9. Price the submission,9. System should process pricing without errors,,,,,,
21,,,,10. Verify the edition date in system payload is 03/25,10. System should send the form with edition date 03/25 in the API payload,,,,,,
22,Manual,TC22_Verify Form ZC 6356 Display with Produced Scope_Inland Marine_New Business Produced_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with correct version and edition date is displayed for Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
22,,,,2. Create a Produced scope submission,2. User should be able to create a submission with Produced scope successfully,,,,,,
22,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
22,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
22,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
22,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
22,,,,7. Verify form ZC 6356 is displayed,7. User should be able to view form ZC 6356 in the form list,,,,,,
22,,,,8. Verify form edition date is 03/25,8. User should be able to see the form edition date displayed as 03/25,,,,,,
23,Manual,TC23_Verify Form ZC 6356 Auto-Attachment with Produced Scope_Inland Marine_New Business Produced_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached for Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
23,,,,2. Create a Produced scope submission,2. User should be able to create a submission with Produced scope successfully,,,,,,
23,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
23,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
23,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
23,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
23,,,,7. Select form ZC 6356,7. Form ZC 6356 should be automatically added to the documents section,,,,,,
23,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
23,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
24,Manual,TC24_Verify Form ZC 6356 Effective Date is August Release_Inland Marine_New Business_R3,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 has the correct effective date set to August release,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Effective Date,Done,Middle Market,CAMS-1863,High,Positive
24,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
24,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
24,,,,4. Click on Contractors Equipment coverage,4. User should be able to select the Contractors Equipment coverage option,,,,,,
24,,,,5. Verify form ZC 6356 is displayed,5. User should be able to view form ZC 6356,,,,,,
24,,,,6. Verify form effective date,6. User should verify that the form effective date is set to August release date,,,,,,
