TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
19,Manual,TC19_Verify Form ZC 6356 Payload Validation After Submission Save_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 latest edition is correctly included in system payload when submission is saved,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Payload Save,Done,Middle Market,US_005,High,Positive
19,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
19,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
19,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached,,,,,,
19,,,,5. Save the submission,5. Submission should be saved successfully,,,,,,
19,,,,6. Verify form in backend payload,6. System should include form ZC 6356 with edition 03/25 in the saved payload,,,,,,
19,,,,7. Verify form version metadata,7. Form metadata should contain correct version and edition information in payload,,,,,,
20,Manual,TC20_Verify Form ZC 6356 August Release Effective Date in System_Inland Marine_New Business_R3,The objective of this test case is to validate that form ZC 6356 effective date is set to August release date in all system operations,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Effective Date System,Done,Middle Market,US_005,High,Positive
20,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
20,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
20,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached with metadata,,,,,,
20,,,,5. Verify form effective date in UI,5. User should see form effective date displaying August release date,,,,,,
20,,,,6. Price the submission,6. Submission should be priced successfully,,,,,,
20,,,,7. Verify form effective date in pricing payload,7. Pricing payload should contain form with August release effective date,,,,,,
20,,,,8. Generate quote,8. Quote document should be generated,,,,,,
20,,,,9. Verify effective date in quote document,9. Quote document should display correct effective date for form ZC 6356,,,,,,
21,Manual,TC21_Verify Form ZC 6356 Edition Consistency Across Form Documents_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 edition 03/25 is consistent across all document types and locations,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Edition Consistency,Done,Middle Market,US_005,High,Positive
21,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
21,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
21,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached,,,,,,
21,,,,5. Verify edition in documents section,5. Documents should show form ZC 6356 with edition 03/25,,,,,,
21,,,,6. Price and generate quote,6. Quote should be generated with form attached,,,,,,
21,,,,7. Verify edition in quote document,7. Quote should display form ZC 6356 with edition 03/25,,,,,,
21,,,,8. Bind the submission,8. Binder should be generated with form attached,,,,,,
21,,,,9. Verify edition in binder document,9. Binder should display form ZC 6356 with edition 03/25,,,,,,
21,,,,10. Issue policy,10. Policy document should be generated with form attached,,,,,,
21,,,,11. Verify edition in policy document,11. Policy should display form ZC 6356 with edition 03/25 consistently across all pages,,,,,,
22,Manual,TC22_Verify Old Form Version Not Loaded in System_Inland Marine_New Business_R1,The objective of this test case is to validate that outdated form versions are not available or loaded when form ZC 6356 is accessed,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Version Control,Done,Middle Market,US_005,High,Positive
22,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
22,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
22,,,,4. Select Contractors Equipment Coverage,4. User should view coverage selection options,,,,,,
22,,,,5. Check available form versions,5. User should verify that only form ZC 6356 03/25 is available and no older versions are present,,,,,,
22,,,,6. Select form ZC 6356,6. System should attach only the latest 03/25 edition,,,,,,
22,,,,7. Verify payload does not contain old version,7. System payload should not include any previous form editions,,,,,,
23,Manual,TC23_Verify Form ZC 6356 Display in Policy Modification Screens_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is properly displayed when modifying existing policies,1. Navigate to Phoenix policy modification screen,1. User should be able to view the modification screen,Inland Marine/US_005 Form Modification,Done,Middle Market,US_005,Medium,Positive
23,,,,2. Select an existing policy with Inland Marine LOB,2. User should be able to select and load existing policy,,,,,,
23,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with current coverages,,,,,,
23,,,,4. Verify existing Contractors Equipment Coverage displays form ZC 6356,4. User should see form ZC 6356 with latest 03/25 edition in the coverage,,,,,,
23,,,,5. Modify the coverage,5. User should be able to modify coverage parameters,,,,,,
23,,,,6. Verify form remains attached with latest edition,6. Form ZC 6356 03/25 should remain attached and not be replaced with older versions,,,,,,
24,Manual,TC24_Verify Form ZC 6356 Auto-Attachment Validation_Inland Marine_New Business_R2,The objective of this test case is to validate that auto-attachment functionality for form ZC 6356 works correctly and cannot be overridden with old versions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Auto Attach Validation,Done,Middle Market,US_005,High,Positive
24,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
24,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
24,,,,4. Select Contractors Equipment Coverage,4. User should view coverage options,,,,,,
24,,,,5. Select form ZC 6356,5. System should automatically attach form to documents,,,,,,
24,,,,6. Navigate to documents section,6. User should see documents with attached forms,,,,,,
24,,,,7. Verify auto-attachment added only latest edition,7. Only form ZC 6356 03/25 should be present in documents section,,,,,,
24,,,,8. Attempt to manually select old version if option exists,8. System should not allow selection of old form versions and should enforce latest edition only,,,,,,
25,Manual,TC25_Verify Form ZC 6356 Metadata Completeness_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 metadata is complete and includes all version and edition information,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Metadata,Done,Middle Market,US_005,Medium,Positive
25,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
25,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
25,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached with complete metadata,,,,,,
25,,,,5. Verify form edition date is displayed,5. Form should display edition date as 03/25,,,,,,
25,,,,6. Verify form effective date is displayed,6. Form should display effective date as August release,,,,,,
25,,,,7. Verify form version information,7. Form should display complete version and release information,,,,,,
25,,,,8. Verify form coverage number ZC 6356,8. Coverage number ZC 6356 should be clearly identified in metadata,,,,,,
